,state_number,consecutive_number,vehicle_number,driver_distracted_by,driver_distracted_by_name
457,38,380047,1,0,Not Distracted
458,38,380066,1,0,Not Distracted
459,38,380065,1,0,Not Distracted
460,38,380060,1,0,Not Distracted
461,38,380057,1,0,Not Distracted
462,38,380055,1,0,Not Distracted
463,38,380054,1,0,Not Distracted
464,38,380052,1,0,Not Distracted
465,38,380051,1,0,Not Distracted
466,38,380067,1,0,Not Distracted
467,38,380046,1,0,Not Distracted
468,38,380044,1,0,Not Distracted
469,38,380043,1,0,Not Distracted
470,38,380036,1,0,Not Distracted
471,38,380035,1,0,Not Distracted
472,38,380032,1,0,Not Distracted
473,38,380026,1,0,Not Distracted
474,38,380020,1,0,Not Distracted
475,38,380017,1,0,Not Distracted
476,38,380015,1,0,Not Distracted
477,38,380011,1,0,Not Distracted
478,38,380085,1,0,Not Distracted
479,38,380099,1,0,Not Distracted
480,38,380098,1,0,Not Distracted
481,38,380095,1,0,Not Distracted
482,38,380093,1,0,Not Distracted
483,38,380087,1,0,Not Distracted
484,38,380010,1,0,Not Distracted
485,38,380084,1,0,Not Distracted
486,38,380083,1,0,Not Distracted
487,38,380082,1,0,Not Distracted
488,38,380081,1,0,Not Distracted
489,38,380080,1,0,Not Distracted
490,38,380078,1,0,Not Distracted
491,38,380076,1,0,Not Distracted
492,38,380073,1,0,Not Distracted
493,38,380070,1,0,Not Distracted
494,38,380069,1,0,Not Distracted
495,38,380068,1,0,Not Distracted
496,38,380009,1,0,Not Distracted
497,38,380007,1,0,Not Distracted
498,38,380006,1,0,Not Distracted
499,38,380005,1,0,Not Distracted
500,38,380004,1,0,Not Distracted
501,38,380003,1,0,Not Distracted
502,38,380002,1,0,Not Distracted
503,38,380001,1,0,Not Distracted
504,33,330002,1,0,Not Distracted
505,33,330026,1,0,Not Distracted
506,33,330044,1,0,Not Distracted
507,33,330041,1,0,Not Distracted
508,33,330040,1,0,Not Distracted
509,33,330039,1,0,Not Distracted
510,33,330037,1,0,Not Distracted
511,33,330035,1,0,Not Distracted
512,33,330027,1,0,Not Distracted
513,33,330023,1,0,Not Distracted
514,33,330022,1,0,Not Distracted
515,33,330021,1,0,Not Distracted
516,33,330019,1,0,Not Distracted
517,33,330018,1,0,Not Distracted
518,33,330013,1,0,Not Distracted
519,33,330012,1,0,Not Distracted
520,33,330009,1,0,Not Distracted
521,33,330007,1,0,Not Distracted
522,33,330006,1,0,Not Distracted
523,33,330005,1,0,Not Distracted
524,33,330004,1,0,Not Distracted
525,33,330046,1,0,Not Distracted
526,33,330071,1,0,Not Distracted
527,33,330085,1,0,Not Distracted
528,33,330082,1,0,Not Distracted
529,33,330079,1,0,Not Distracted
530,33,330078,1,0,Not Distracted
531,33,330077,1,0,Not Distracted
532,33,330076,1,0,Not Distracted
533,33,330074,1,0,Not Distracted
534,33,330091,1,0,Not Distracted
535,33,330070,1,0,Not Distracted
536,33,330059,1,0,Not Distracted
537,33,330055,1,0,Not Distracted
538,33,330050,1,0,Not Distracted
539,33,330049,1,0,Not Distracted
540,33,330108,1,0,Not Distracted
541,33,330107,1,0,Not Distracted
542,33,330106,1,0,Not Distracted
